STATION,STATION_NAME,DATE,PRCP,SNWD,SNOW,TAVG,TMAX,TMIN,AWND,WT01,WT06,WT02,WT04,WT08
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20160409,0.11,0.0,0.0,-9999,43,36,6.5,-9999,-9999,-9999,-9999,-9999
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20160410,0.00,0.0,0.0,-9999,50,31,4.9,-9999,-9999,-9999,-9999,-9999
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20160411,0.01,0.0,0.0,-9999,65,43,6.9,-9999,-9999,-9999,-9999,-9999
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20160412,0.20,0.0,0.0,-9999,59,45,5.8,1,-9999,-9999,-9999,-9999
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20160413,0.00,0.0,0.0,-9999,58,40,4.5,-9999,-9999,-9999,-9999,-9999
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20160414,0.00,0.0,0.0,-9999,62,43,6.5,-9999,-9999,-9999,-9999,-9999
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20160415,0.00,0.0,0.0,-9999,65,42,3.8,-9999,-9999,-9999,-9999,-9999
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20160416,0.00,0.0,0.0,-9999,68,43,4.9,-9999,-9999,-9999,-9999,-9999
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20160417,0.00,0.0,0.0,-9999,75,44,2.9,-9999,-9999,-9999,-9999,-9999
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20160418,0.00,0.0,0.0,-9999,82,51,3.8,-9999,-9999,-9999,-9999,-9999
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20160419,0.00,0.0,0.0,-9999,73,55,7.6,-9999,-9999,-9999,-9999,-9999
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20160420,0.00,0.0,0.0,-9999,69,49,6.0,-9999,-9999,-9999,-9999,-9999
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20160421,0.00,0.0,0.0,-9999,73,49,5.6,-9999,-9999,-9999,-9999,-9999
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20160422,0.00,0.0,0.0,-9999,79,62,4.3,-9999,-9999,-9999,-9999,-9999
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20160423,0.16,0.0,0.0,-9999,71,54,7.2,1,-9999,-9999,-9999,1
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20160424,0.00,0.0,0.0,-9999,68,47,5.8,-9999,-9999,-9999,-9999,-9999
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20160425,0.00,0.0,0.0,-9999,69,50,4.0,-9999,-9999,-9999,-9999,-9999
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20160426,0.24,0.0,0.0,-9999,60,47,7.2,1,-9999,-9999,-9999,1
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20160427,0.00,0.0,0.0,-9999,62,46,4.3,-9999,-9999,-9999,-9999,-9999
